uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
43b1f687-c63f-4784-8f4e-05a5ff1b09cd,2017-03-30,BART_041.basePlot.ltr,D01,BART,BART_041,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART041.20161010.LVS,NEON.LTR.BART041.20161010.LVS.CN,NA,vegetation,N,-2.9,-28.2,0.6,50.6,81.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
ce06d6af-53fe-43ee-a2f7-e4cf84ac7916,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,NA,vegetation,N,-2.5,-28.8,0.5,50.9,111.4,OK,OK,NA,NA,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
47f092e1-666c-4bce-b3a1-fb6db9e45747,2017-03-30,BART_034.basePlot.ltr,D01,BART,BART_034,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART034.20161010.LVS,NEON.LTR.BART034.20161010.LVS.CN,NA,vegetation,N,-4,-28.3,0.5,50.9,98.7,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
5fbd41c5-815a-4f51-bf92-a18392ee4b8e,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,NA,vegetation,N,-2.4,-28.9,0.4,50.8,113.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
b734c177-9ad6-4d37-a86d-f3075687af75,2017-03-30,BART_032.basePlot.ltr,D01,BART,BART_032,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART032.20161010.LVS,NEON.LTR.BART032.20161010.LVS.CN,NA,vegetation,N,-2.6,-28.7,0.5,50.6,98.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
1e2d27d5-22ab-4cda-b5b3-a25fd72bd772,2017-03-30,BART_032.basePlot.ltr,D01,BART,BART_032,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART032.20161010.NDL,NEON.LTR.BART032.20161010.NDL.CN,NA,vegetation,N,2.6,-28.4,0.5,53,102.7,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
b9075de0-6a68-4ef5-8957-9bc534e387f2,2017-03-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.CN,NA,vegetation,N,-3.8,-28.8,0.6,49.5,86.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
2d6853c3-25a7-4fe7-823d-307a6d510694,2017-03-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART033.20161011.NDL,NEON.LTR.BART033.20161011.NDL.CN,NA,vegetation,N,-1.5,-30.9,0.5,50.4,105.8,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
fab304c7-9870-4cc1-bdcf-af1a26e9b5ad,2017-03-30,BART_047.basePlot.ltr,D01,BART,BART_047,tower,2016-09-20T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART047.20161010.LVS,NEON.LTR.BART047.20161010.LVS.CN,NA,vegetation,N,-3.1,-28.7,0.6,49.6,85.5,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
8008d20c-ace2-470c-8340-6ea4603873af,2017-03-30,BART_051.basePlot.ltr,D01,BART,BART_051,tower,2016-09-20T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART051.20161010.NDL,NEON.LTR.BART051.20161010.NDL.CN,NA,vegetation,N,-2.1,-30,0.5,52.1,105.2,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
