siteID,plotID,collectDate,nitrogenPercent,carbonPercent,uid
BART,BART_036,2022-04-12T16:00:00Z,1.28,51.77,8695e3ca-89c8-4e47-bc71-8aa2e5cda16e
BART,BART_036,2022-04-12T16:00:00Z,0.6,51.76,e3acc996-404a-4c60-ba4e-a160025e0bd4
BART,BART_036,2022-04-12T16:00:00Z,0.69,51.97,0ab98c32-10a7-4c0f-a4de-1e963910b602
BART,BART_036,2022-04-12T16:00:00Z,1.27,51.13,f814be0a-6e92-436e-9723-77b980a8f37d
BART,BART_073,2016-10-10T16:00:00Z,0.5,51.7,77ab18f9-bb8c-4c10-a72d-1284084d6690
BART,BART_071,2016-10-10T16:00:00Z,0.4,52.7,34f8d2de-e4f9-458a-a423-378614ebd14f
BART,BART_039,2016-10-10T16:00:00Z,0.5,50.4,a788977d-8fed-40b7-ac6b-dc33134d913b
BART,BART_073,2016-10-10T16:00:00Z,0.4,50.3,452938cb-cce7-4a35-9c44-fcf07de07f72
BART,BART_039,2016-10-10T16:00:00Z,0.4,51.7,357432fe-97f5-4d26-9b03-95505775b88b
BART,BART_041,2016-10-10T16:00:00Z,0.5,53.1,aef80ecc-21d8-4550-8db5-57ed5950ba73
BART,BART_041,2016-10-10T16:00:00Z,0.6,50.6,43b1f687-c63f-4784-8f4e-05a5ff1b09cd
BART,BART_071,2016-10-10T16:00:00Z,0.5,50.9,ce06d6af-53fe-43ee-a2f7-e4cf84ac7916
BART,BART_034,2016-10-10T16:00:00Z,0.5,50.9,47f092e1-666c-4bce-b3a1-fb6db9e45747
BART,BART_071,2016-10-10T16:00:00Z,0.4,50.8,5fbd41c5-815a-4f51-bf92-a18392ee4b8e
BART,BART_032,2016-10-10T16:00:00Z,0.5,50.6,b734c177-9ad6-4d37-a86d-f3075687af75
BART,BART_032,2016-10-10T16:00:00Z,0.5,53,1e2d27d5-22ab-4cda-b5b3-a25fd72bd772
BART,BART_033,2016-10-11T16:00:00Z,0.6,49.5,b9075de0-6a68-4ef5-8957-9bc534e387f2
BART,BART_033,2016-10-11T16:00:00Z,0.5,50.4,2d6853c3-25a7-4fe7-823d-307a6d510694
BART,BART_047,2016-10-10T16:00:00Z,0.6,49.6,fab304c7-9870-4cc1-bdcf-af1a26e9b5ad
BART,BART_051,2016-10-10T16:00:00Z,0.5,52.1,8008d20c-ace2-470c-8340-6ea4603873af
BART,BART_040,2016-10-10T16:00:00Z,0.6,49.6,77290fba-b395-4239-8a18-68eb0460cb8f
BART,BART_047,2016-10-10T16:00:00Z,0.5,51.2,87bde21c-2805-415a-8907-92e5aed82f60
BART,BART_051,2016-10-10T16:00:00Z,0.5,49.3,d85552a1-598a-4d90-bb81-d1fb3feeae95
BART,BART_036,2016-10-11T16:00:00Z,0.6,51.3,1197184d-a9ae-4e0b-9555-f0373aedb9bf
BART,BART_072,2016-10-11T16:00:00Z,0.6,50.7,685e21c8-c863-4174-be2e-fe4776f3ec88
BART,BART_042,2016-10-11T16:00:00Z,0.5,51.7,e1088d8e-1ce1-4e12-9d39-a8a26f64a4b8
BART,BART_037,2016-10-11T16:00:00Z,0.6,49.2,2b8abcc6-6169-445e-9048-0729810b76aa
BART,BART_036,2016-10-11T16:00:00Z,0.5,50.5,e6528605-f84d-4735-81c4-ca4e92ada4d7
BART,BART_075,2016-10-11T16:00:00Z,0.5,52,365ddde0-5bcf-4e1a-886c-e00ae78698c8
BART,BART_075,2016-10-11T16:00:00Z,0.7,49.9,e3632eab-8de5-4baf-a62f-8d1c98fef825
BART,BART_037,2016-10-11T16:00:00Z,0.5,51.1,c89430a4-1bb8-40a1-a0a2-a25c30e02344
BART,BART_042,2016-10-11T16:00:00Z,0.7,48.1,afe707f9-43c8-4ec7-a3ab-59b369445c6e
BART,BART_046,2016-10-11T16:00:00Z,0.6,50.5,a7fb0977-7d25-4355-9062-b4d2f1b06325
BART,BART_050,2016-10-11T16:00:00Z,0.7,47.7,2daadc22-6008-4672-ae3e-1ac6f36fcee8
BART,BART_072,2016-10-11T16:00:00Z,0.5,52.5,b4f98206-b13f-4767-bd36-0487c4d58527
BART,BART_074,2016-10-11T16:00:00Z,0.4,52.2,c679493c-0977-4f7a-9895-d4d52c8b2aeb
BART,BART_044,2016-10-11T16:00:00Z,0.4,53.2,57a4e23a-ca81-42ff-98e1-701d1d0d5832
BART,BART_074,2016-10-11T16:00:00Z,0.7,50,11a835c2-7594-49e0-9e83-97887a1996a1
BART,BART_037,2016-10-11T16:00:00Z,0.5,50.9,165bec8d-f51e-447b-85bf-e5c6edd89525
BART,BART_044,2016-10-11T16:00:00Z,0.6,50.3,d4a6d91e-d433-4d97-a108-19d27fd20cce
BART,BART_050,2016-10-11T16:00:00Z,0.5,52.2,224f0df5-e843-492a-b981-dc9a16b5c950
BART,BART_036,2022-06-06T16:00:00Z,0.98,49.21,161820bb-f7b5-4757-b710-47fec9c5ce96
BART,BART_036,2022-05-10T16:00:00Z,1.69,50.01,acfbb2cf-45c9-46f5-bab3-0a2fd4fad3fe
BART,BART_036,2022-07-05T16:00:00Z,2.38,51.82,c24cc536-67a0-4784-a6c4-c34f432ab6e4
BART,BART_073,2022-09-26T16:00:00Z,0.62,52.77,0d9e80bd-5b17-4ba3-bd08-47cfda982a76
